Medición;Fecha;Estación_año;Año;Mes;Feriado;Día_semana;Día_laboral;Clima;Temperatura;Sensación_térmica;Humedad;Velocidad_viento;Usuarios_casuales;Usuarios_registrados;Ventas;Pib;Pib_cápita;Var_IPC_anual[%];Fecha
1;2011-01-01;1;0;1;0;6;0;2;14,1;18,2;80,6;10,7;331,0;654,0;985,0;44693,0;4100,0;3,60;2011-01-01
2;2011-01-02;1;0;1;0;0;0;2;14,9;17,7;69,6;16,7;131,0;670,0;801,0;44693,0;4100,0;3,60;2011-01-02
3;2011-01-03;1;0;1;0;1;1;1;8,1;9,5;43,7;16,6;120,0;1229,0;1349,0;44693,0;4100,0;3,60;2011-01-03
4;2011-01-04;1;0;1;0;2;1;1;8,2;10,6;59,0;10,7;108,0;1454,0;1562,0;44693,0;4100,0;3,60;2011-01-04
5;2011-01-05;1;0;1;0;3;1;1;9,3;11,5;43,7;12,5;82,0;1518,0;1600,0;44693,0;4100,0;3,60;2011-01-05
6;2011-01-06;1;0;1;0;4;1;1;8,4;11,7;51,8;6,0;88,0;1518,0;1606,0;44693,0;4100,0;3,60;2011-01-06
7;2011-01-07;1;0;1;0;5;1;2;8,1;10,4;49,9;11,3;148,0;1362,0;1510,0;44693,0;4100,0;3,60;2011-01-07
8;2011-01-08;1;0;1;0;6;0;2;6,8;8,1;53,6;17,9;68,0;891,0;959,0;44693,0;4100,0;3,60;2011-01-08
9;2011-01-09;1;0;1;0;0;0;1;5,7;5,8;43,4;24,3;54,0;768,0;822,0;44693,0;4100,0;3,60;2011-01-09
10;2011-01-10;1;0;1;0;1;1;1;6,2;7,5;48,3;15,0;41,0;1280,0;1321,0;44693,0;4100,0;3,60;2011-01-10
11;2011-01-11;1;0;1;0;2;1;2;6,9;9,6;68,6;8,2;43,0;1220,0;1263,0;44693,0;4100,0;3,60;2011-01-11
12;2011-01-12;1;0;1;0;3;1;1;7,1;8,0;60,0;20,4;25,0;1137,0;1162,0;44693,0;4100,0;3,60;2011-01-12
13;2011-01-13;1;0;1;0;4;1;1;6,8;7,5;47,0;20,2;38,0;1368,0;1406,0;44693,0;4100,0;3,60;2011-01-13
14;2011-01-14;1;0;1;0;5;1;1;6,6;9,4;53,8;8,5;54,0;1367,0;1421,0;44693,0;4100,0;3,60;2011-01-14
15;2011-01-15;1;0;1;0;6;0;2;9,6;12,4;49,9;10,6;222,0;1026,0;1248,0;44693,0;4100,0;3,60;2011-01-15
16;2011-01-16;1;0;1;0;0;0;1;9,5;11,7;48,4;12,6;251,0;953,0;1204,0;44693,0;4100,0;3,60;2011-01-16
17;2011-01-17;1;0;1;1;1;0;2;7,2;8,8;53,8;13,0;117,0;883,0;1000,0;44693,0;4100,0;3,60;2011-01-17
18;2011-01-18;1;0;1;0;2;1;2;8,9;11,6;86,2;9,8;9,0;674,0;683,0;44693,0;4100,0;3,60;2011-01-18
19;2011-01-19;1;0;1;0;3;1;2;12,0;14,9;74,2;14,0;78,0;1572,0;1650,0;44693,0;4100,0;3,60;2011-01-19
20;2011-01-20;1;0;1;0;4;1;2;10,7;12,8;53,8;13,1;83,0;1844,0;1927,0;44693,0;4100,0;3,60;2011-01-20
21;2011-01-21;1;0;1;0;5;1;1;7,3;7,9;45,7;23,7;75,0;1468,0;1543,0;44693,0;4100,0;3,60;2011-01-21
22;2011-01-22;1;0;1;0;6;0;1;2,4;4,0;40,0;11,5;93,0;888,0;981,0;44693,0;4100,0;3,60;2011-01-22
23;2011-01-23;1;0;1;0;0;0;1;4,0;4,9;43,7;16,5;150,0;836,0;986,0;44693,0;4100,0;3,60;2011-01-23
24;2011-01-24;1;0;1;0;1;1;1;4,0;5,9;49,2;10,6;86,0;1330,0;1416,0;44693,0;4100,0;3,60;2011-01-24
25;2011-01-25;1;0;1;0;2;1;2;9,2;11,7;61,7;8,7;186,0;1799,0;1985,0;44693,0;4100,0;3,60;2011-01-25
26;2011-01-26;1;0;1;0;3;1;3;8,9;10,2;86,3;19,7;34,0;472,0;506,0;44693,0;4100,0;3,60;2011-01-26
27;2011-01-27;1;0;1;0;4;1;1;8,0;11,0;68,8;7,6;15,0;416,0;431,0;44693,0;4100,0;3,60;2011-01-27
28;2011-01-28;1;0;1;0;5;1;2;8,3;11,2;79,3;8,3;38,0;1129,0;1167,0;44693,0;4100,0;3,60;2011-01-28
